message,label
"Я дома, когда будешь?",ham
Позвони мне позже.,ham
Бесплатный iPhone! Не упустите шанс!,spam
До встречи!,ham
Спасибо за информацию!,ham
Хорошего дня!,ham
Скинь фотографии с отпуска.,ham
Сможешь перезвонить?,ham
Спасибо за информацию!,ham
"Привет, как дела?",ham
Хорошего дня!,ham
"Я дома, когда будешь?",ham
Поздравляем! Вы победили в лотерее!,spam
До встречи!,ham
Спасибо за информацию!,ham
Скинь фотографии с отпуска.,ham
Бесплатный iPhone! Не упустите шанс!,spam
Сможешь перезвонить?,ham
Скинь фотографии с отпуска.,ham
Подтвердите ваш аккаунт сейчас!,spam
Спасибо за информацию!,ham
Заработай лёгкие деньги!,spam
Встреча завтра в 10.,ham
До встречи!,ham
Вы выиграли миллион! Перейдите по ссылке.,spam
Спасибо за информацию!,ham
Пришлите смс на номер 1234 для активации.,spam
"Привет, как дела?",ham
Вы выиграли миллион! Перейдите по ссылке.,spam
Как дела? Что нового?,ham
До встречи!,ham
Получите скидку 50% сегодня.,spam
Спасибо за информацию!,ham
Сможешь перезвонить?,ham
Встреча завтра в 10.,ham
Скинь фотографии с отпуска.,ham
Спасибо за информацию!,ham
Заработай лёгкие деньги!,spam
"Привет, как дела?",ham
Бесплатный iPhone! Не упустите шанс!,spam
Хорошего дня!,ham
Бесплатный iPhone! Не упустите шанс!,spam
До встречи!,ham
Вы выиграли миллион! Перейдите по ссылке.,spam
Позвони мне позже.,ham
"Привет, как дела?",ham
Встреча завтра в 10.,ham
Встреча завтра в 10.,ham
Вы выиграли миллион! Перейдите по ссылке.,spam
Хорошего дня!,ham
"Я дома, когда будешь?",ham
Срочно! Ваш аккаунт заблокирован.,spam
Скинь фотографии с отпуска.,ham
Получите скидку 50% сегодня.,spam
Встреча завтра в 10.,ham
Как дела? Что нового?,ham
Вы выиграли миллион! Перейдите по ссылке.,spam
Вы выиграли миллион! Перейдите по ссылке.,spam
"Привет, как дела?",ham
Как дела? Что нового?,ham
Вы выиграли миллион! Перейдите по ссылке.,spam
Ваш выигрыш ждёт вас!,spam
Подтвердите ваш аккаунт сейчас!,spam
Хорошего дня!,ham
До встречи!,ham
Встреча завтра в 10.,ham
Сможешь перезвонить?,ham
Срочное сообщение! Действуйте немедленно!,spam
Хорошего дня!,ham
Хорошего дня!,ham
Спасибо за информацию!,ham
Ваш выигрыш ждёт вас!,spam
Срочно! Ваш аккаунт заблокирован.,spam
Заработай лёгкие деньги!,spam
Спасибо за информацию!,ham
До встречи!,ham
Как дела? Что нового?,ham
Срочно! Ваш аккаунт заблокирован.,spam
Бесплатный iPhone! Не упустите шанс!,spam
"Привет, как дела?",ham
Подтвердите ваш аккаунт сейчас!,spam
Сможешь перезвонить?,ham
"Привет, как дела?",ham
Позвони мне позже.,ham
"Привет, как дела?",ham
Срочно! Ваш аккаунт заблокирован.,spam
Спасибо за информацию!,ham
Позвони мне позже.,ham
"Я дома, когда будешь?",ham
"Привет, как дела?",ham
Позвони мне позже.,ham
Подтвердите ваш аккаунт сейчас!,spam
Бесплатный iPhone! Не упустите шанс!,spam
Скинь фотографии с отпуска.,ham
